model,horizon,trial_id,parameters,validation_micro_wape,validation_macro_wape,validation_mae,validation_rmse,training_duration_sec,seed
LightGBM,6,1,"{""objective"": ""regression"", ""learning_rate"": 0.05, ""num_leaves"": 31, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",14.673357217409084,16.754815394678797,16.44516510141123,21.519089564481668,0.24932730000000447,42
LightGBM,6,2,"{""objective"": ""regression_l1"", ""learning_rate"": 0.05, ""num_leaves"": 31, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",13.931582443440268,16.506943377442276,15.613821023485679,20.187302426417457,0.24697930000183987,42
LightGBM,6,3,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 31, ""min_child_samples"": 25, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",13.788099358986482,18.29803983590697,15.4530123565841,19.260066341718158,0.18626829999993788,42
LightGBM,6,4,"{""objective"": ""regression_l1"", ""learning_rate"": 0.04, ""num_leaves"": 20, ""min_child_samples"": 25, ""subsample"": 0.75, ""colsample_bytree"": 0.75, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",14.110620614211832,17.208641318282574,15.814478053377911,20.117284537561968,0.19040879999738536,42
LightGBM,6,5,"{""objective"": ""regression"", ""learning_rate"": 0.04, ""num_leaves"": 20, ""min_child_samples"": 25, ""subsample"": 0.75, ""colsample_bytree"": 0.75, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",13.997487319628926,16.39841491268871,15.687683913474121,20.558645782544097,0.20079439999972237,42
LightGBM,6,6,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",13.890767518401942,18.566698331683252,15.568077696248977,19.270520064476287,0.15951399999903515,42
LightGBM,6,7,"{""objective"": ""regression"", ""learning_rate"": 0.03, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",13.83329000276014,17.49976962679354,15.503659770593426,19.602801980960535,0.18193439999959082,42
LightGBM,6,8,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 10, ""min_child_samples"": 35, ""subsample"": 0.7, ""colsample_bytree"": 0.65, ""reg_alpha"": 1.5, ""reg_lambda"": 2.0}",14.010710581436769,18.692634664163023,15.702503884145258,19.522206705807978,0.15011109999977634,42
LightGBM,6,9,"{""objective"": ""regression_l1"", ""learning_rate"": 0.02, ""num_leaves"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 2.0}",15.443714568725945,23.60858563604017,17.308543102899602,20.819310239231207,0.11936929999865242,42
LightGBM,6,10,"{""objective"": ""regression"", ""learning_rate"": 0.02, ""num_leaves"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 2.0}",14.964340005979318,22.539981510177096,16.771284061701323,19.74276847289994,0.12794280000161962,42
LightGBM,6,11,"{""objective"": ""regression_l1"", ""learning_rate"": 0.02, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",15.151536720376765,23.309913165715603,16.981084779362263,20.319177290524305,0.14027980000173557,42
LightGBM,6,12,"{""objective"": ""regression_l1"", ""learning_rate"": 0.06, ""num_leaves"": 25, ""min_child_samples"": 20, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_alpha"": 0.2, ""reg_lambda"": 0.2}",13.897010906047507,16.355718368749635,15.575074972952743,20.193564666625132,0.23752990000139107,42
