model,SKU,Micro_WAPE,MAE,RMSE
Tuned XGBoost,SKU004,26.059610231417924,8.259448687235514,9.72362998685821
Tuned XGBoost,SKU005,15.526239631088032,17.88536548614502,22.343479899187276
Tuned XGBoost,SKU006,21.615407905967636,10.00913471645779,12.204754194917188
Tuned XGBoost,SKU007,7.893536624333605,13.713923560248482,17.418362866882692
Tuned XGBoost,SKU008,15.207033201575657,17.306448618570965,20.749514609763956
Tuned XGBoost,SKU009,19.767685147864007,14.866946538289389,17.18922623607711
Tuned XGBoost,SKU010,15.45956777080326,18.26805591583252,23.423015243871575
Tuned XGBoost,SKU011,37.08587476312006,6.927847438388401,8.848207842653618
Tuned XGBoost,SKU012,9.1851317245612,16.498792860243057,20.371447135042636
Tuned XGBoost,SKU013,13.963844296131741,13.938631799485949,17.131703505725866
Tuned XGBoost,SKU014,13.103676462186744,19.599096086290146,24.505056879794044
Tuned XGBoost,SKU015,27.643446804237463,7.598108503553602,9.099662513138467
Tuned XGBoost,SKU016,16.042495376269915,15.873157925075954,19.51792217519386
Tuned XGBoost,SKU017,18.467834537679497,18.057438214619953,21.05094171263328
Tuned XGBoost,SKU018,7.608553065020936,13.423812442355686,17.386891555712182
Tuned XGBoost,SKU019,15.11874234961494,16.943490558200413,22.274536797626634
Tuned XGBoost,SKU020,11.756717419360994,11.531380335489908,14.731468684231306
Tuned XGBoost,SKU021,19.233209458428224,11.665475792355007,14.1171950127367
Tuned XGBoost,SKU022,17.898455184684014,12.61841090520223,15.700924923262955
Tuned XGBoost,SKU023,16.733475053870862,17.59803793165419,21.326120592582086
Tuned XGBoost,SKU024,17.537243197078485,16.066063351101345,18.747598901480128
Tuned XGBoost,SKU025,39.17351055002284,7.257980982462565,8.850952500934355
Tuned XGBoost,SKU026,11.015780961906836,17.574760542975532,22.59497131658959
Tuned XGBoost,SKU027,9.555830676854635,16.170589023166233,21.26404068107184
Tuned XGBoost,SKU028,19.53302754669835,7.693842517005073,9.699373449741831
Tuned XGBoost,SKU029,12.522010736314911,13.882040235731337,17.756218880871614
Tuned XGBoost,SKU030,19.550579542419133,6.636335611343384,8.07689463279021
